"Date","Price","Open","High","Low","Change %"
"Nov 23, 2015","3.480","3.610","3.610","3.560","-3.60%"
"Nov 22, 2015","3.610","3.610","3.610","3.610","0.00%"
"Nov 21, 2015","3.610","3.550","3.610","3.550","3.14%"
"Nov 20, 2015","3.500","3.640","3.640","3.560","1.45%"
"Nov 19, 2015","3.450","3.610","3.610","3.550","-0.86%"
"Nov 18, 2015","3.480","3.610","3.610","3.580","2.05%"
"Nov 17, 2015","3.410","3.540","3.590","3.540","-0.58%"
"Nov 16, 2015","3.430","3.570","3.570","3.570","-3.92%"
"Nov 14, 2015","3.570","3.500","3.570","3.500","4.69%"
"Nov 13, 2015","3.410","3.521","3.560","3.500","0.29%"
"Nov 12, 2015","3.400","3.521","3.540","3.500","0.00%"
"Nov 11, 2015","3.400","3.550","3.550","3.550","-2.86%"
"Nov 10, 2015","3.500","3.690","3.690","3.650","-1.71%"
"Nov 09, 2015","3.561","3.661","3.661","3.661","4.74%"
"Nov 06, 2015","3.400","3.600","3.641","3.600","-1.45%"
"Nov 05, 2015","3.450","3.590","3.610","3.590","0.00%"
"Nov 04, 2015","3.450","3.650","3.650","3.580","-0.29%"
"Nov 03, 2015","3.460","3.560","3.580","3.560","0.00%"
"Nov 02, 2015","3.460","3.561","3.561","3.500","-1.14%"
"Oct 31, 2015","3.500","3.460","3.511","3.460","4.17%"
"Oct 30, 2015","3.360","3.500","3.520","3.500","-1.18%"
"Oct 29, 2015","3.400","3.400","3.400","3.400","2.72%"
"Oct 28, 2015","3.310","3.410","3.410","3.410","0.61%"
"Oct 27, 2015","3.290","3.460","3.460","3.460","-1.53%"
"Oct 26, 2015","3.341","3.441","3.441","3.441","-0.89%"
"Oct 23, 2015","3.371","3.521","3.560","3.430","-0.85%"
"Oct 22, 2015","3.400","3.541","3.591","3.520","0.00%"
"Oct 21, 2015","3.400","3.511","3.561","3.480","0.00%"
"Oct 20, 2015","3.400","3.521","3.560","3.490","0.00%"
"Oct 19, 2015","3.400","3.491","3.521","3.460","-2.88%"
"Oct 18, 2015","3.501","3.501","3.501","3.501","0.00%"
"Oct 17, 2015","3.501","3.500","3.501","3.500","3.24%"
"Oct 16, 2015","3.391","3.500","3.511","3.470","1.22%"
"Oct 15, 2015","3.350","3.500","3.520","3.480","0.00%"
"Oct 14, 2015","3.350","3.500","3.521","3.490","0.30%"
"Oct 13, 2015","3.340","3.490","3.510","3.480","-1.50%"
"Oct 12, 2015","3.391","3.510","3.521","3.490","-3.14%"
"Oct 10, 2015","3.501","3.500","3.501","3.500","2.97%"
"Oct 09, 2015","3.400","3.510","3.510","3.450","1.49%"
"Oct 08, 2015","3.350","3.560","3.561","3.410","-1.47%"
"Oct 07, 2015","3.400","3.550","3.560","3.490","0.00%"
"Oct 06, 2015","3.400","3.550","3.560","3.490","-1.45%"
"Oct 05, 2015","3.450","3.550","3.560","3.520","-3.09%"
"Oct 03, 2015","3.560","3.560","3.560","3.560","4.71%"
